freq	gain	phase
1679	124.9493	62.3311
1683	124.5853	61.5473
1687	124.2618	60.3503
1691	123.9234	59.5497
1695	123.6398	58.6222
1699	123.3055	57.5994
1703	123.0420	56.9692
1707	122.7370	56.2330
1710	122.4539	55.5537
1714	122.1948	55.1104
1718	121.9261	54.3053
1722	121.6609	53.8170
1726	121.4387	53.0762
1730	121.1539	52.5134
1734	120.9743	52.0035
1738	120.7116	51.4257
1742	120.4989	51.0553
1746	120.3059	50.5659
1749	120.0277	50.1379
1753	119.9085	49.6047
1757	119.6330	49.0668
1761	119.4786	48.4039
1765	119.2370	47.9159
1769	118.9937	47.3846
1773	118.7931	47.0105
1777	118.5303	46.6300
1781	118.3138	46.3357
1785	118.1061	45.9838
1789	117.8386	45.9237
1792	117.7145	45.5058
1796	117.5071	45.5408
1800	117.3820	44.8253
1804	117.2579	44.4757
1808	117.0421	43.9128
1812	116.9203	43.0611
1816	116.6394	43.1191
1820	116.4997	41.7811
1824	116.2089	42.1173
1828	116.0131	40.4676
1832	115.6648	40.8045
1835	115.4105	39.8393
1839	115.0331	40.3512
1843	114.8398	40.3333
1847	114.5618	40.9997
1851	114.3998	40.9559
1855	114.1802	41.2988
1859	113.9288	41.6986
1863	113.7483	41.5720
1867	113.5190	43.1520
1871	113.4042	42.2575
1874	113.3348	43.9362
1878	113.2067	42.4064
1882	113.1642	43.0448
1886	112.9685	42.3059
1890	112.7749	42.1741
1894	112.5113	42.1837
1898	112.2167	42.3500
1902	111.9187	42.0737
1906	111.6760	43.1780
1910	111.3498	42.6052
1914	111.2271	44.0334
1917	110.8501	43.5433
1921	110.7276	44.2770
1925	110.4271	44.9332
1929	110.1427	46.0391
1933	109.9812	47.1252
1937	109.6552	49.2882
1941	109.4860	49.4108
1945	109.2663	51.3155
1949	108.9732	51.5955
1953	108.8255	53.3437
1957	108.4251	54.2587
1960	108.3507	56.7551
1964	108.0358	58.1496
1968	108.1532	61.3709
1972	108.0995	63.0976
1976	108.3230	65.4029
1980	108.6323	65.6479
1984	108.5693	65.8131
1988	108.9974	64.7260
1992	108.6767	62.6754
1996	108.8343	61.6384
1999	108.3989	57.3770
