sample,Time (s),CMD_POS_FLOATMAG_BH,ENC_POS_FLOATMAG_BH,POS_ERR_FLOATMAG_BH,DAC_FLOATMAG_BH,MODE_FLOATMAG_BH,ENC_POS_FLOATMAG_FBX,ENC_POS_FLOATMAG_FBY,ENC_POS_FLOATMAG_FB_COUNT,ENC_POS_FLOATMAG_FB_SCORE,EndPoint_X(um),ENC_X(um),dENC_X(um),ddENC_X(um)
999,0.124875,0,-197,197,-107,ff010001,5799936,5574656,15352,1,-4.686655985,-0.985,-0.06499999999999995,-0.009999999999999898
1000,0.125,0,-207,207,-104,ff010001,5906432,5591040,15353,1,-3.671015488,-1.035,-0.04999999999999993,0.015000000000000013
1001,0.125125,0,-201,201,-185,ff010001,5906432,5591040,15353,1,-3.671015488,-1.005,0.030000000000000027,0.07999999999999996
1002,0.12525,0,-214,214,-173,ff010001,5906432,5591040,15353,1,-3.671015488,-1.07,-0.06500000000000017,-0.0950000000000002
1003,0.125375,0,-212,212,-143,ff010001,6000640,5619712,15354,1,-2.772564279,-1.06,0.010000000000000009,0.07500000000000018
1004,0.1255,0,-210,210,-205,ff010001,6000640,5619712,15354,1,-2.772564279,-1.05,0.010000000000000009,0.0
1005,0.125625,0,-207,207,-214,ff010001,6000640,5619712,15354,1,-2.772564279,-1.035,0.015000000000000124,0.0050000000000001155
1006,0.12575,0,-193,193,-269,ff010001,6131712,5517312,15355,1,-1.522545205,-0.965,0.06999999999999995,0.05499999999999983
1007,0.125875,0,-188,188,-285,ff010001,6131712,5517312,15355,1,-1.522545205,-0.94,0.025000000000000022,-0.04499999999999993
1008,0.126,0,-176,176,-278,ff010001,6197248,5636096,15356,1,-0.897535668,-0.88,0.05999999999999994,0.03499999999999992
1009,0.126125,0,-159,159,-337,ff010001,6197248,5636096,15356,1,-0.897535668,-0.795,0.08499999999999996,0.025000000000000022
1010,0.12625,0,-144,144,-364,ff010001,6197248,5636096,15356,1,-0.897535668,-0.72,0.07500000000000007,-0.009999999999999898
1011,0.126375,0,-128,128,-369,ff010001,6332416,5492736,15357,1,0.391546502,-0.64,0.07999999999999996,0.004999999999999893
1012,0.1265,0,-114,114,-373,ff010001,6332416,5492736,15357,1,0.391546502,-0.57,0.07000000000000006,-0.009999999999999898
1013,0.126625,0,-99,99,-378,ff010001,6332416,5492736,15357,1,0.391546502,-0.495,0.07499999999999996,0.004999999999999893
1014,0.12675,0,-86,86,-385,ff010001,6438912,5537792,15358,1,1.407186999,-0.43,0.065,-0.009999999999999953
1015,0.126875,0,-76,76,-373,ff010001,6438912,5537792,15358,1,1.407186999,-0.38,0.04999999999999999,-0.015000000000000013
1016,0.127,0,-65,65,-373,ff010001,6438912,5537792,15358,1,1.407186999,-0.325,0.05499999999999999,0.0050000000000000044
1017,0.127125,0,-56,56,-379,ff010001,6533120,5476352,15359,1,2.305638209,-0.28,0.044999999999999984,-0.010000000000000009
1018,0.12725,0,-49,49,-370,ff010001,6533120,5476352,15359,1,2.305638209,-0.245,0.03500000000000003,-0.009999999999999953
1019,0.127375,0,-42,42,-368,ff010001,6533120,5476352,15359,1,2.305638209,-0.21,0.035,-2.7755575615628914e-17
1020,0.1275,0,-38,38,-361,ff010001,6639616,5369856,15360,1,3.321278706,-0.19,0.01999999999999999,-0.015000000000000013
1021,0.127625,0,-30,30,-372,ff010001,6639616,5369856,15360,1,3.321278706,-0.15,0.04000000000000001,0.020000000000000018
1022,0.12775,0,-23,23,-393,ff010001,6701056,5402624,15361,1,3.907225147,-0.115,0.03499999999999999,-0.005000000000000018
1023,0.127875,0,-20,20,-377,ff010001,6701056,5402624,15361,1,3.907225147,-0.1,0.015,-0.01999999999999999
1024,0.128,0,-20,20,-344,ff010001,6701056,5402624,15361,1,3.907225147,-0.1,0.0,-0.015
1025,0.128125,0,-12,12,-367,ff010001,6729728,5402624,15362,1,4.180666819,-0.06,0.04000000000000001,0.04000000000000001
1026,0.12825,0,-10,10,-382,ff010001,6729728,5402624,15362,1,4.180666819,-0.05,0.009999999999999995,-0.030000000000000013
1027,0.128375,0,-5,5,-372,ff010001,6729728,5402624,15362,1,4.180666819,-0.025,0.025,0.015000000000000006
1028,0.1285,0,0,0,-386,ff010001,6766592,5406720,15363,1,4.532234684,0.0,0.025,0.0
1029,0.128625,0,5,-5,-390,ff010001,6766592,5406720,15363,1,4.532234684,0.025,0.025,0.0
1030,0.12875,0,5,-5,-367,ff010001,6766592,5406720,15363,1,4.532234684,0.025,0.0,-0.025
1031,0.128875,0,8,-8,-356,ff010001,6791168,5304320,15364,1,4.76661326,0.04,0.015,0.015
1032,0.129,0,8,-8,-356,ff010001,6791168,5304320,15364,1,4.76661326,0.04,0.0,-0.015
1033,0.129125,0,8,-8,-343,ff010001,6782976,5279744,15365,1,4.688487068,0.04,0.0,0.0
1034,0.12925,0,5,-5,-328,ff010001,6782976,5279744,15365,1,4.688487068,0.025,-0.015,-0.015
1035,0.129375,0,3,-3,-316,ff010001,6782976,5279744,15365,1,4.688487068,0.015,-0.010000000000000002,0.0049999999999999975
1036,0.1295,0,0,0,-315,ff010001,6774784,5287936,15366,1,4.610360876,0.0,-0.015,-0.0049999999999999975
1037,0.129625,0,0,0,-323,ff010001,6774784,5287936,15366,1,4.610360876,0.0,0.0,0.015
1038,0.12975,0,-8,8,-299,ff010001,6774784,5287936,15366,1,4.610360876,-0.04,-0.04,-0.04
1039,0.129875,0,-10,10,-283,ff010001,6705152,5279744,15367,1,3.946288243,-0.05,-0.010000000000000002,0.03
1040,0.13,0,-20,20,-269,ff010001,6705152,5279744,15367,1,3.946288243,-0.1,-0.05,-0.04
1041,0.130125,0,-25,25,-250,ff010001,6705152,5279744,15367,1,3.946288243,-0.125,-0.024999999999999994,0.02500000000000001
1042,0.13025,0,-30,30,-267,ff010001,6647808,5152768,15368,1,3.399404898,-0.15,-0.024999999999999994,0.0
1043,0.130375,0,-40,40,-241,ff010001,6647808,5152768,15368,1,3.399404898,-0.2,-0.05000000000000002,-0.025000000000000022
1044,0.1305,0,-45,45,-232,ff010001,6578176,5193728,15369,1,2.735332265,-0.225,-0.024999999999999994,0.025000000000000022
1045,0.130625,0,-53,53,-235,ff010001,6578176,5193728,15369,1,2.735332265,-0.265,-0.04000000000000001,-0.015000000000000013
1046,0.13075,0,-60,60,-220,ff010001,6578176,5193728,15369,1,2.735332265,-0.3,-0.034999999999999976,0.005000000000000032
1047,0.130875,0,-63,63,-236,ff010001,6475776,5148672,15370,1,1.758754864,-0.315,-0.015000000000000013,0.019999999999999962
1048,0.131,0,-70,70,-232,ff010001,6475776,5148672,15370,1,1.758754864,-0.35,-0.034999999999999976,-0.019999999999999962
1049,0.131125,0,-70,70,-240,ff010001,6475776,5148672,15370,1,1.758754864,-0.35,0.0,0.034999999999999976
1050,0.13125,0,-73,73,-255,ff010001,6402048,5017600,15371,1,1.055619135,-0.365,-0.015000000000000013,-0.015000000000000013
1051,0.131375,0,-76,76,-237,ff010001,6402048,5017600,15371,1,1.055619135,-0.38,-0.015000000000000013,0.0
1052,0.1315,0,-76,76,-244,ff010001,6402048,5017600,15371,1,1.055619135,-0.38,0.0,0.015000000000000013
1053,0.131625,0,-74,74,-266,ff010001,6307840,5001216,15372,1,0.157167926,-0.37,0.010000000000000009,0.010000000000000009
1054,0.13175,0,-76,76,-256,ff010001,6307840,5001216,15372,1,0.157167926,-0.38,-0.010000000000000009,-0.020000000000000018
1055,0.131875,0,-76,76,-243,ff010001,6189056,5066752,15373,1,-0.97566186,-0.38,0.0,0.010000000000000009
1056,0.132,0,-76,76,-249,ff010001,6189056,5066752,15373,1,-0.97566186,-0.38,0.0,0.0
1057,0.132125,0,-71,71,-274,ff010001,6189056,5066752,15373,1,-0.97566186,-0.355,0.025000000000000022,0.025000000000000022
1058,0.13225,0,-76,76,-252,ff010001,6062080,5054464,15374,1,-2.186617838,-0.38,-0.025000000000000022,-0.050000000000000044
1059,0.132375,0,-72,72,-244,ff010001,6062080,5054464,15374,1,-2.186617838,-0.36,0.020000000000000018,0.04500000000000004
1060,0.1325,0,-69,69,-282,ff010001,6062080,5054464,15374,1,-2.186617838,-0.345,0.015000000000000013,-0.0050000000000000044
1061,0.132625,0,-71,71,-258,ff010001,6000640,4964352,15375,1,-2.772564279,-0.355,-0.010000000000000009,-0.025000000000000022
1062,0.13275,0,-70,70,-245,ff010001,6000640,4964352,15375,1,-2.772564279,-0.35,0.0050000000000000044,0.015000000000000013
1063,0.132875,0,-70,70,-254,ff010001,6000640,4964352,15375,1,-2.772564279,-0.35,0.0,-0.0050000000000000044
1064,0.133,0,-71,71,-245,ff010001,5918720,4947968,15376,1,-3.5538262,-0.355,-0.0050000000000000044,-0.0050000000000000044
1065,0.133125,0,-68,68,-259,ff010001,5918720,4947968,15376,1,-3.5538262,-0.34,0.014999999999999958,0.019999999999999962
1066,0.13325,0,-70,70,-256,ff010001,5918720,4947968,15376,1,-3.5538262,-0.35,-0.009999999999999953,-0.02499999999999991
1067,0.133375,0,-73,73,-226,ff010001,5840896,4947968,15377,1,-4.296025025,-0.365,-0.015000000000000013,-0.00500000000000006
1068,0.1335,0,-76,76,-216,ff010001,5840896,4947968,15377,1,-4.296025025,-0.38,-0.015000000000000013,0.0
1069,0.133625,0,-73,73,-243,ff010001,5746688,5038080,15378,1,-5.194476234,-0.365,0.015000000000000013,0.030000000000000027
1070,0.13375,0,-74,74,-256,ff010001,5746688,5038080,15378,1,-5.194476234,-0.37,-0.0050000000000000044,-0.020000000000000018
1071,0.133875,0,-74,74,-241,ff010001,5746688,5038080,15378,1,-5.194476234,-0.37,0.0,0.0050000000000000044
1072,0.134,0,-76,76,-232,ff010001,5709824,5005312,15379,1,-5.546044099,-0.38,-0.010000000000000009,-0.010000000000000009
1073,0.134125,0,-76,76,-229,ff010001,5709824,5005312,15379,1,-5.546044099,-0.38,0.0,0.010000000000000009
1074,0.13425,0,-76,76,-237,ff010001,5709824,5005312,15379,1,-5.546044099,-0.38,0.0,0.0
1075,0.134375,0,-78,78,-227,ff010001,5689344,5017600,15380,1,-5.741359579,-0.39,-0.010000000000000009,-0.010000000000000009
1076,0.1345,0,-80,80,-214,ff010001,5689344,5017600,15380,1,-5.741359579,-0.4,-0.010000000000000009,0.0
1077,0.134625,0,-76,76,-240,ff010001,5689344,5017600,15380,1,-5.741359579,-0.38,0.020000000000000018,0.030000000000000027
1078,0.13475,0,-78,78,-242,ff010001,5664768,5087232,15381,1,-5.975738155,-0.39,-0.010000000000000009,-0.030000000000000027
1079,0.134875,0,-73,73,-245,ff010001,5664768,5087232,15381,1,-5.975738155,-0.365,0.025000000000000022,0.03500000000000003
1080,0.135,0,-75,75,-244,ff010001,5705728,5013504,15382,1,-5.585107195,-0.375,-0.010000000000000009,-0.03500000000000003
1081,0.135125,0,-73,73,-229,ff010001,5705728,5013504,15382,1,-5.585107195,-0.365,0.010000000000000009,0.020000000000000018
1082,0.13525,0,-73,73,-236,ff010001,5705728,5013504,15382,1,-5.585107195,-0.365,0.0,-0.010000000000000009
